model,group,scheme,benchmark,acc_before,acc_after,delta,pred,lo,hi,inside_90
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a8,smollm,w8a8_int,truthfulqa,40.48,40.21,-0.27,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,gpqa,64.05,63.79,-0.26,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3,fp8_dynamic,truthfulqa,51.87,51.62,-0.25,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3,w8a8_int,hellaswag,83.76,83.53,-0.23,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,mmlu,81.12,80.91,-0.21,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,mmlu,80.54,80.34,-0.2,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,mmlu,77.67,77.49,-0.18,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,ifeval,86.26,86.08,-0.18,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3,w4a16,arc_challenge,72.53,72.35,-0.18,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,mmlu,55.65,55.53,-0.12,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,bbh,65.13,65.01,-0.12,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,truthfulqa,61.41,61.3,-0.11,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,bbh,34.81,34.7,-0.11,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,mmlu_pro,55.7,55.6,-0.1,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/NVIDIA-Nemotron-Nano-9B-v2-quantized.w4a16,nemotron,w4a16,gpqa,56.26,56.16,-0.1,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3,fp8_dynamic,hellaswag,85.78,85.69,-0.09,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,winogrande,68.51,68.43,-0.08,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a8,smollm,w8a8_int,arc_challenge,49.06,48.98,-0.08,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3,fp8_dynamic,mmlu,77.53,77.45,-0.08,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a16,smollm,w8a16,hellaswag,66.96,66.89,-0.07,-0.08406976744186047,-0.98,0.8118604651162791,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,hellaswag,85.23,85.18,-0.05,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,mmlu,80.54,80.49,-0.05,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,ifeval,42.45,42.41,-0.04,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3,fp8_dynamic,hellaswag,74.96,74.92,-0.04,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,gsm8k,93.03,93.03,0.0,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval,86.0,86.0,0.0,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,arc_challenge,50.51,50.51,0.0,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,gpqa,31.88,31.88,0.0,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,hellaswag,54.33,54.33,0.0,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,gpqa,62.63,62.63,0.0,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3,w8a8_int,arc_challenge,68.43,68.43,0.0,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3,fp8_dynamic,truthfulqa,62.2,62.2,0.0,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3,w4a16,arc_challenge,56.57,56.57,0.0,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
