model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,hellaswag,10042,88.5,88.5,0.0,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,winogrande,1267,87.2,88.0,0.8,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,truthfulqa,817,65.3,65.3,0.0,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_pro,12032,59.7,59.4,-0.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,ifeval,541,87.7,86.8,-0.9,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,bbh,6511,67.0,67.1,0.1,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,math_lvl5,1324,39.0,38.8,-0.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,gpqa,448,19.5,19.0,-0.5,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,musr,756,19.5,20.8,1.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,humaneval,164,86.8,87.0,0.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,humaneval_plus,164,80.1,81.0,0.9,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8,8,8,fp,rtn,mmlu,14042,87.41,87.41,0.0,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8,8,8,fp,rtn,mmlu_cot,14042,88.11,88.02,-0.09,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8,8,8,fp,rtn,arc_challenge,1172,94.97,94.88,-0.09,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8,8,8,fp,rtn,gsm8k,1319,95.98,96.29,0.31,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8,8,8,fp,rtn,hellaswag,10042,88.54,88.54,0.0,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8,8,8,fp,rtn,winogrande,1267,87.21,86.98,-0.23,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8,8,8,fp,rtn,truthfulqa,817,65.31,65.33,0.02,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,arena_hard,500,67.4,66.5,-0.9,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,mmlu,14042,87.4,87.2,-0.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,arc_challenge,1172,95.0,95.3,0.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,gsm8k,1319,96.4,96.3,-0.1,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,hellaswag,10042,88.3,88.3,0.0,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,winogrande,1267,87.2,87.4,0.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,truthfulqa,817,64.6,65.3,0.7,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,mmlu_pro,12032,59.7,59.4,-0.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,ifeval,541,87.7,88.0,0.3,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,bbh,6511,67.0,67.5,0.5,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,math_lvl5,1324,39.0,37.6,-1.4,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,w4a16,4,16,int,gptq,gpqa,448,19.5,17.5,-2.0,arith,1
